Rang;Titre;Périodicité;Période;Document;"Diffusion France Payée";"Evolution en %"
72;"Cuisine Actuelle";Mensuel;20152016;DSH;151278;-4,83
85;"Cuisine Actuelle Hors-Série";Bimestriel;20152016;DSH;121787;-9,94
86;"Cuisine et Vins de France";Bimestriel;20152016;DSH;120243;-7,55
188;"Le Cycle";Mensuel;20152016;DSH;37616;2,27
301;"déco française";Trimestriel;20152016;-;NC;NC
44;"Détente Jardin";Bimestriel;20152016;DSH;261622;-7,02
115;"Détours en France";Bimestriel;20152016;DSH;88105;-8,31
216;Diapason;Mensuel;20152016;DSH;27712;-6,27
170;"Disney Girl";Mensuel;20152016;DSH;45969;-14,46
204;"Disney Junior Magazine";Mensuel;20152016;DSH;30811;-14,08
194;"Disney Princesse";Bimestriel;20152016;DSH;35768;-25,89
5;"Dossier Familial";Mensuel;20152016;DSH;963874;-2,48
287;"Dossier Familial # Expert";Trimestriel;20152016;DSH;5756;-28,25
250;Echappement;Mensuel;20152016;DSH;15807;-10,35
289;Ecodocs;Hebdomadaire;20152016;DSH;3298;NA
28;Elle;Hebdomadaire;20152016;PV;328663;-3,2
77;"Elle à Table";Bimestriel;20152016;DSH;132655;-3,96
63;"Elle Décoration";Mensuel;20152016;DSH;170541;0,83
300;"enduro magazine";Bimestriel;20152016;-;NC;NC
272;Entreprendre;Mensuel;20152016;DSH;10223;-12,46
48;"L'Equipe Mag";Hebdomadaire;20152016;PV;241053;3,68
138;"Esprit d'Ici";Bimestriel;20152016;DSH;61484;-1,08
142;L'Expansion;Mensuel;20152016;DSH;57705;-40,83
35;L'Express;Hebdomadaire;20152016;PV;300120;-22,52
275;"Faire Face";Bimestriel;20152016;DSH;8947;-4,61
117;"Famili Magic Maman";Bimestriel;20152016;DSH;85583;-3,02
164;"Famille Chrétienne";Hebdomadaire;20152016;DSH;48932;0,5
6;"Famille et Education - Magazine de l'APEL";Bimestriel;20152016;DSH;874953;1,2
217;"la fée clochette";Bimestriel;20152016;DSH;27435;1,55
13;"Femme Actuelle";Hebdomadaire;20152016;PV;622400;-6,22
87;"Femme Actuelle Jeux";Mensuel;20152016;DSH;119515;-5,32
;"Femme Majuscule";Bimestriel;2016;PV;32232;NA
20;"Le Figaro Magazine";Hebdomadaire;20152016;PV;395631;-2,61
119;Flow;Bimestriel;20152016;DSH;79520;12,34
200;"Fou de Pâtisserie";Bimestriel;20152016;DSH;32864;-1,78
37;"France Dimanche";Hebdomadaire;20152016;DSH;295552;-5,21
118;"France Football";Hebdomadaire;20152016;PV;84685;-7,65
54;Gala;Hebdomadaire;20152016;PV;205010;-4,46
234;"La Gazette de l'Hôtel Drouot";Hebdomadaire;20152016;DSH;22568;-5,42
177;Gazoline;Mensuel;20152016;DSH;41616;-9,33
